disease_id,name,alias
C531616,,
C531617,Amyotrophic lateral sclerosis 1,"ALS1#AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL DOMINANT AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE, INCLUDED#AMYOTROPHIC LATERAL SCLEROSIS 1, FAMILIAL#Amyotrophic Lateral Sclerosis, Autosomal Dominant#Amyotrophic Lateral Sclerosis, Familial#Amyotrophic Lateral Sclerosis, Sporadic#AMYOTROPHIC LATERAL SCLEROSIS, SPORADIC, INCLUDED#FALS"
C531755,Kidney disorder involving deposition of calcium and oxalate or phosphate in the renal tubules,
C531767,,
C531795,Idiopathic intracranial hypertension with papilledema,
C535323,Chromosome 5q Deletion Syndrome,"5q deletion syndrome#5q- syndrome#Macrocytic Anemia, Refractory, Due To 5q Deletion#MACROCYTIC ANEMIA, REFRACTORY, DUE TO 5q DELETION;MAR  MEGAKARYOCYTES, UNILOBULAR NUCLEATED, INCLUDED#Refractory macrocytic anemia due to 5q deletion"
C535402,Galactorrhea-Hyperprolactinemia,
C535438,Bidirectional tachycardia,
C535464,Conotruncal cardiac defects,Conotruncal heart malformations#Truncus arteriosus communis
C535469,Coproporphyria,"Hereditary coproporphyria porphyria#Porphyria Hepatica, Coproporphyria#Porphyria hepatica II"
C535474,Corneal dystrophy Avellino type,"ACD#Avellino corneal dystrophy#CDA#CGD2#Combined granular-lattice corneal dystrophies#Combined Granular-Lattice Corneal Dystrophy#Corneal Dystrophy, Avellino Type#Granular and lattice corneal dystrophies#Granular corneal dystrophy type 2#Granular Corneal Dystrophy, Type II#Granular-lattice (Avellino) corneal dystrophy"
C535485,Chromosome 13q trisomy,Duplication 13q#Trisomy 13q
C535500,"Epileptic encephalopathy, Lennox-Gastaut type",Childhood Epileptic Encephalopathy with Diffuse Slow Spikes and Waves#MACROCEPHALY AND EPILEPTIC ENCEPHALOPATHY
C535506,"Episodic Ataxia, Type 2","Acetazolamide-responsive episodic ataxia syndrome#Acetazolamide-responsive, hereditary, paroxysmal, cerebellar ataxia#Acetazolamide-Responsive Hereditary Paroxysmal Cerebellar Ataxia#APCA#Ataxia, Episodic, With Nystagmus#Ataxia, familial, paroxysmal#Ataxia, Familial Paroxysmal#CAPA#Cerebellar ataxia, paroxysmal, Acetazolamide-responsive#Cerebellopathy, hereditary paroxysmal#EA2#Episodic Ataxia, Nystagmus-Associated#Episodic ataxia type 2#Episodic ataxia with nystagmus#Nystagmus-associated episodic ataxia"
C535531,Intervertebral disc disease,"IDD#LDD, INCLUDED#LUMBAR DISC DEGENERATION, SUSCEPTIBILITY TO, INCLUDED#Lumbar Disc Disease#LUMBAR DISC DISEASE, INCLUDED#LUMBAR DISC HERNIATION, SUSCEPTIBILITY TO, INCLUDED"
C535542,Isotretinoin embryopathy like syndrome,Isotretinoin teratogen syndrome#Microtia aortic arch syndrome#Syndrome of microtia and aortic arch anomalies
C535563,Absence of Tibia,"Bilateral absence of the tibia#THM#Tibia, absence of#Tibial hemimelia"
C535575,"Carcinoma, squamous cell of head and neck","HNSCC#Squamous Cell Carcinoma, Head And Neck#Squamous cell carcinoma of the head and neck"
C535581,Cardiomyopathy dilated with Woolly hair and keratoderma,"Cardiomyopathy, Dilated, With Woolly Hair And Keratoderma#Carvajal syndrome#DCWHK#Epidermolytic palmoplantar keratoderma, woolly hair, and dilated cardiomyopathy#Palmoplantar keratoderma with left ventricular cardiomyopathy and woolly hair"
C535598,"Creatine deficiency, X-linked","CCDS1#Cerebral creatine deficiency syndrome 1#Creatine Deficiency Syndrome, X-Linked#Creatine Transporter Defect#Creatine Transporter Deficiency#Mental retardation, X-linked, with creatine transport deficiency#Mental Retardation, X-Linked, with Seizures, Short Stature, and Midface Hypoplasia#Slc6a8 Deficiency#Slc6a8-Related Creatine Transporter Deficiency#X-Linked Creatine Deficiency#X-linked creatine deficiency syndrome#X-linked creatine transporter deficiency"
C535648,Familial primary gastric lymphoma,"Gastric lymphoma#Gastric Lymphoma, Primary#Primary gastric lymphoma"
C535670,Accutane embryopathy,Accutane-exposed pregnancies#Isotretinoin embryopathy#Isotretinoin (RoAccutane) embryopathy
C535686,"Rippling muscle disease, 1",Rippling muscle disease#Rippling Muscle Disease 1#Rippling Muscle Disease 2#RMD#RMD1#RMD2
C535700,Malignant mesenchymal tumor,
C535761,"Nephrosis, congenital","CNF#Congenital nephrotic syndrome 1#Congenital nephrotic syndrome, Finnish type#Finnish congenital nephrosis#Nephrosis 1, congenital, Finnish type#NEPHROTIC SYNDROME, CONGENITAL#Nephrotic Syndrome, Early-Onset, Type 3#Nephrotic Syndrome, Idiopathic#Nephrotic Syndrome, Type 1#Nephrotic Syndrome, Type 2#Nephrotic Syndrome, Type 3#NPHS1#Nphs3"
C535803,succinic semialdehyde dehydrogenase deficiency,4-hydroxybutyric aciduria#4-Hydroxybutyricaciduria#GABA METABOLIC DEFECT#Gamma-Hydroxybutyric Acidemia#Gamma-Hydroxybutyric Aciduria#SSADHD#SSADH Deficiency
C535833,Pulmonary edema of mountaineers,
C535854,,
C535932,Intrahepatic Cholestasis of Pregnancy,"Cholestasis, intrahepatic of pregnancy#Cholestasis, Intrahepatic, Of Pregnancy#CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY, 1#CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY 3#Cholestasis, Pregnancy-Related#CHOLESTASIS, PREGNANCY-RELATED, 1#Familial intrahepatic cholestasis of pregnancy#Familial recurrent intrahepatic cholestasis of pregnancy#ICP1#ICP3#Obstetric Cholestasis#Pregnancy related cholestasis#Pregnancy-Related Cholestasis#Recurrent intrahepatic cholestasis of pregnancy"
