drug_id,drug_name,disease_id,disease_name
C074619,bivalirudin,MESH:D003328,Coronary Thrombosis
C074619,bivalirudin,MESH:D006470,Hemorrhage
C074619,bivalirudin,MESH:D007249,Inflammation
C074619,bivalirudin,MESH:D007511,Ischemia
C074619,bivalirudin,MESH:D013921,Thrombocytopenia
C074619,bivalirudin,MESH:D013927,Thrombosis
C074619,bivalirudin,MESH:D016769,Embolism and Thrombosis
C074619,bivalirudin,MESH:D017202,Myocardial Ischemia
C074619,bivalirudin,MESH:D020212,Carotid Artery Injuries
C074619,bivalirudin,MESH:D020521,Stroke
C074619,bivalirudin,MESH:D048909,Diabetes Complications
C074619,bivalirudin,MESH:D054058,Acute Coronary Syndrome
D017273,Goserelin,MESH:D000544,Alzheimer Disease
D017273,Goserelin,MESH:D001943,Breast Neoplasms
D017273,Goserelin,MESH:D003072,Cognition Disorders
D017273,Goserelin,MESH:D004715,Endometriosis
D017273,Goserelin,MESH:D006501,Hepatic Encephalopathy
D017273,Goserelin,MESH:D006505,Hepatitis
D017273,Goserelin,MESH:D007889,Leiomyoma
D017273,Goserelin,MESH:D008569,Memory Disorders
D017273,Goserelin,MESH:D011471,Prostatic Neoplasms
D017273,Goserelin,MESH:D012735,"Sexual Dysfunction, Physiological"
D017273,Goserelin,MESH:D015275,Tumor Lysis Syndrome
D017273,Goserelin,MESH:D019584,Hot Flashes
D003894,Deamino Arginine Vasopressin,MESH:D001778,Blood Coagulation Disorders
D003894,Deamino Arginine Vasopressin,MESH:D002544,Cerebral Infarction
D003894,Deamino Arginine Vasopressin,MESH:D003128,Coma
D003894,Deamino Arginine Vasopressin,MESH:D003550,Cystic Fibrosis
D003894,Deamino Arginine Vasopressin,MESH:D003919,Diabetes Insipidus
D003894,Deamino Arginine Vasopressin,MESH:D004775,Enuresis
D003894,Deamino Arginine Vasopressin,MESH:D006408,"Hematoma, Subdural"
D003894,Deamino Arginine Vasopressin,MESH:D006474,Hemorrhagic Disorders
D003894,Deamino Arginine Vasopressin,MESH:D006973,Hypertension
D003894,Deamino Arginine Vasopressin,MESH:D007010,Hyponatremia
D003894,Deamino Arginine Vasopressin,MESH:D008595,Menorrhagia
D003894,Deamino Arginine Vasopressin,MESH:D011141,Polyuria
D003894,Deamino Arginine Vasopressin,MESH:D011655,Pulmonary Embolism
D003894,Deamino Arginine Vasopressin,MESH:D012640,Seizures
D003894,Deamino Arginine Vasopressin,MESH:D013610,Tachycardia
D003894,Deamino Arginine Vasopressin,MESH:D013921,Thrombocytopenia
D003894,Deamino Arginine Vasopressin,MESH:D014839,Vomiting
D003894,Deamino Arginine Vasopressin,MESH:D014869,Water Intoxication
D003894,Deamino Arginine Vasopressin,MESH:D018500,"Diabetes Insipidus, Nephrogenic"
D003894,Deamino Arginine Vasopressin,MESH:D020246,Venous Thrombosis
D003894,Deamino Arginine Vasopressin,MESH:D020343,Hypertensive Encephalopathy
D003894,Deamino Arginine Vasopressin,MESH:D020521,Stroke
D003894,Deamino Arginine Vasopressin,MESH:D020767,Intracranial Thrombosis
D003894,Deamino Arginine Vasopressin,MESH:D020790,"Diabetes Insipidus, Neurogenic"
D003894,Deamino Arginine Vasopressin,MESH:D053158,Nocturia
D003894,Deamino Arginine Vasopressin,MESH:D053206,Nocturnal Enuresis
C062876,cetrorelix,MESH:D009101,Multiple Myeloma
D005259,Felypressin,MESH:D006973,Hypertension
D005259,Felypressin,MESH:D009135,Muscular Diseases
D005259,Felypressin,MESH:D009336,Necrosis
D011732,Pyridoxal Phosphate,MESH:D000756,"Anemia, Sideroblastic"
