drug_id,drug_name,disease_id,disease_name
C012255,clobazam,D001008,Anxiety Disorders
C012255,clobazam,D001259,Ataxia
C012255,clobazam,D003251,"Constriction, Pathologic"
C012255,clobazam,D004830,"Epilepsy, Tonic-Clonic"
C012255,clobazam,D006029,Glycosuria
C012255,clobazam,D006970,Disorders of Excessive Somnolence
C012255,clobazam,D007037,Hypothyroidism
C012255,clobazam,D009207,Myoclonus
C012255,clobazam,D010291,Paresis
C012255,clobazam,D011507,Proteinuria
C012255,clobazam,D012640,Seizures
C012255,clobazam,D013262,Stevens-Johnson Syndrome
C012255,clobazam,D013375,Substance Withdrawal Syndrome
C012255,clobazam,D017674,Hypophosphatemia
C012255,clobazam,D019954,Neurobehavioral Manifestations
C012255,clobazam,D020301,"Vasospasm, Intracranial"
C030852,vinorelbine,C538231,Adenocarcinoma of lung
C030852,vinorelbine,D000230,Adenocarcinoma
C030852,vinorelbine,D000380,Agranulocytosis
C030852,vinorelbine,D000505,Alopecia
C030852,vinorelbine,D000740,Anemia
C030852,vinorelbine,D000787,Angina Pectoris
C030852,vinorelbine,D000855,Anorexia
C030852,vinorelbine,D001247,Asthenia
C030852,vinorelbine,D001281,Atrial Fibrillation
C030852,vinorelbine,D001282,Atrial Flutter
C030852,vinorelbine,D001342,Autonomic Nervous System Diseases
C030852,vinorelbine,D001943,Breast Neoplasms
C030852,vinorelbine,D002277,Carcinoma
C030852,vinorelbine,D002289,"Carcinoma, Non-Small-Cell Lung"
C030852,vinorelbine,D002294,"Carcinoma, Squamous Cell"
C030852,vinorelbine,D002318,Cardiovascular Diseases
C030852,vinorelbine,D002493,Central Nervous System Diseases
C030852,vinorelbine,D003248,Constipation
C030852,vinorelbine,D003872,Dermatitis
C030852,vinorelbine,D003967,Diarrhea
C030852,vinorelbine,D004487,Edema
C030852,vinorelbine,D004890,Erythema
C030852,vinorelbine,D005221,Fatigue
C030852,vinorelbine,D005334,Fever
C030852,vinorelbine,D005767,Gastrointestinal Diseases
C030852,vinorelbine,D006258,Head and Neck Neoplasms
C030852,vinorelbine,D006312,"Hearing Loss, Bilateral"
C030852,vinorelbine,D006319,"Hearing Loss, Sensorineural"
C030852,vinorelbine,D006331,Heart Diseases
C030852,vinorelbine,D006333,Heart Failure
C030852,vinorelbine,D006402,Hematologic Diseases
C030852,vinorelbine,D006973,Hypertension
C030852,vinorelbine,D007010,Hyponatremia
C030852,vinorelbine,D007177,Inappropriate ADH Syndrome
C030852,vinorelbine,D007674,Kidney Diseases
C030852,vinorelbine,D007970,Leukopenia
C030852,vinorelbine,D008113,Liver Neoplasms
C030852,vinorelbine,D008171,Lung Diseases
C030852,vinorelbine,D008175,Lung Neoplasms
C030852,vinorelbine,D008545,Melanoma
C030852,vinorelbine,D008654,Mesothelioma
C030852,vinorelbine,D009135,Muscular Diseases
C030852,vinorelbine,D009203,Myocardial Infarction
C030852,vinorelbine,D009325,Nausea
C030852,vinorelbine,D009362,Neoplasm Metastasis
C030852,vinorelbine,D009369,Neoplasms
C030852,vinorelbine,D009422,Nervous System Diseases
C030852,vinorelbine,D009437,Neuralgia
C030852,vinorelbine,D009503,Neutropenia
C030852,vinorelbine,D010051,Ovarian Neoplasms
C030852,vinorelbine,D010146,Pain
C030852,vinorelbine,D010190,Pancreatic Neoplasms
C030852,vinorelbine,D010198,Pancytopenia
C030852,vinorelbine,D010292,Paresthesia
C030852,vinorelbine,D010523,Peripheral Nervous System Diseases
C030852,vinorelbine,D010689,Phlebitis
C030852,vinorelbine,D011115,Polyneuropathies
C030852,vinorelbine,D011471,Prostatic Neoplasms
C030852,vinorelbine,D011655,Pulmonary Embolism
C030852,vinorelbine,D013118,Spinal Cord Diseases
C030852,vinorelbine,D013280,Stomatitis
C030852,vinorelbine,D013921,Thrombocytopenia
C030852,vinorelbine,D013923,Thromboembolism
C030852,vinorelbine,D014012,Tinnitus
C030852,vinorelbine,D014652,Vascular Diseases
C030852,vinorelbine,D014839,Vomiting
C030852,vinorelbine,D015433,"Glomerulonephritis, Membranous"
C030852,vinorelbine,D017093,Liver Failure
C030852,vinorelbine,D017202,Myocardial Ischemia
C030852,vinorelbine,D018805,Sepsis
C030852,vinorelbine,D020246,Venous Thrombosis
C030852,vinorelbine,D020258,Neurotoxicity Syndromes
C030852,vinorelbine,D052016,Mucositis
C030852,vinorelbine,D064420,Drug-Related Side Effects and Adverse Reactions
C043211,carvedilol,D000419,Albuminuria
C043211,carvedilol,D000787,Angina Pectoris
C043211,carvedilol,D001145,"Arrhythmias, Cardiac"
C043211,carvedilol,D001281,Atrial Fibrillation
C043211,carvedilol,D001282,Atrial Flutter
C043211,carvedilol,D001342,Autonomic Nervous System Diseases
C043211,carvedilol,D001919,Bradycardia
C043211,carvedilol,D002311,"Cardiomyopathy, Dilated"
C043211,carvedilol,D002312,"Cardiomyopathy, Hypertrophic"
C043211,carvedilol,D003072,Cognition Disorders
C043211,carvedilol,D003704,Dementia
C043211,carvedilol,D003875,Drug Eruptions
C043211,carvedilol,D003925,Diabetic Angiopathies
C043211,carvedilol,D004195,"Disease Models, Animal"
C043211,carvedilol,D004244,Dizziness
C043211,carvedilol,D004719,Endomyocardial Fibrosis
C043211,carvedilol,D005334,Fever
C043211,carvedilol,D005910,Glioma
C043211,carvedilol,D006261,Headache
C043211,carvedilol,D006323,Heart Arrest
C043211,carvedilol,D006330,"Heart Defects, Congenital"
C043211,carvedilol,D006331,Heart Diseases
C043211,carvedilol,D006332,Cardiomegaly
C043211,carvedilol,D006333,Heart Failure
C043211,carvedilol,D006940,Hyperemia
C043211,carvedilol,D006973,Hypertension
C043211,carvedilol,D006975,"Hypertension, Portal"
C043211,carvedilol,D006976,"Hypertension, Pulmonary"
